,strikePrice_CE,expiryDate_CE,underlying_CE,identifier_CE,openInterest_CE,changeinOpenInterest_CE,pchangeinOpenInterest_CE,totalTradedVolume_CE,impliedVolatility_CE,lastPrice_CE,change_CE,pChange_CE,totalBuyQuantity_CE,totalSellQuantity_CE,bidQty_CE,bidprice_CE,askQty_CE,askPrice_CE,underlyingValue_CE
22,17200,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE17200.00,2286,71,3.205417607223476,350,0,683,-75.54999999999995,-9.959791707863682,11000,8500,1400,630.45,250,687.4,17856.5
23,17250,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE17250.00,189,-1,-0.5263157894736842,7,0,636.55,-71.15000000000009,-10.053695068531876,6600,8200,850,550.7,1900,647.65,17856.5
24,17300,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE17300.00,1299,-20,-1.5163002274450341,392,0,588.65,-77.80000000000007,-11.673793983044499,13150,10550,50,580.8,250,594.1,17856.5
25,17350,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE17350.00,224,27,13.705583756345177,62,0,537.4,-74.60000000000002,-12.189542483660135,9000,8950,50,538.85,1200,558.15,17856.5
26,17400,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE17400.00,2564,73,2.93054997992774,1159,0,501.55,-73.19999999999999,-12.73597216180948,19650,9300,50,497.8,100,502,17856.5
27,17450,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE17450.00,352,56,18.91891891891892,157,0,462.1,-65.85000000000002,-12.472772042807087,18750,9100,1500,410.9,150,461.15,17856.5
28,17500,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE17500.00,19397,-1873,-8.805829807240244,15096,0,414.85,-68.54999999999995,-14.180802647910623,56400,18900,50,411.35,50,414.95,17856.5
29,17550,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE17550.00,571,64,12.6232741617357,555,6.21,372,-70.55000000000001,-15.94170150265507,28150,8950,50,366.8,150,374.25,17856.5
30,17600,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE17600.00,27184,-2404,-8.124915506286332,14234,7.04,328.55,-68.39999999999998,-17.23138934374606,37700,17800,50,328.65,50,331.55,17856.5
31,17650,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE17650.00,1314,52,4.120443740095087,1048,8.32,293.9,-63.35000000000002,-17.732680195941224,32600,11050,50,288.35,150,294.9,17856.5
32,17700,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE17700.00,22299,-1223,-5.199387807159255,37876,8.34,253.9,-63.74999999999997,-20.069258617975752,44000,21650,150,251.45,50,255.15,17856.5
33,17750,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE17750.00,1784,68,3.9627039627039626,4595,8.61,219.3,-62.89999999999998,-22.289156626506017,32600,13500,50,219.6,50,223,17856.5
34,17800,23-Feb-2023,NIFTY,OPTIDXNIFTY23-02-2023CE17800.00,32407,7431,29.752562459961563,129419,8.95,189.15,-57,-23.15661182205972,70200,66500,50,188.15,50,189.15,17856.5
